cent,n,type,share
0,287754,Close,0.029155030568536
1,98922,Close,0.0100227066657656
2,94206,Close,0.00954488490078157
3,92869,Close,0.00940942101193855
4,93230,Close,0.00944599727511905
5,105168,Close,0.0106555469422903
6,94427,Close,0.00956727646355966
7,90517,Close,0.00917111804517807
8,97062,Close,0.00983425278899073
9,89543,Close,0.00907243305809273
10,127006,Close,0.012868157566489
11,90070,Close,0.00912582832317895
12,96873,Close,0.00981510344344747
13,87854,Close,0.00890130477966652
14,90702,Close,0.00918986211356697
15,106834,Close,0.0108243448770789
16,93070,Close,0.00942978618894487
17,91150,Close,0.00923525315485468
18,91245,Close,0.0092448784872706
19,90824,Close,0.00920222306677478
20,148220,Close,0.0150175449546085
21,88568,Close,0.00897364675171881
22,91397,Close,0.00926027901913607
23,88318,Close,0.00894831692957165
24,93176,Close,0.00944052603353527
25,122405,Close,0.0124019875196927
26,92002,Close,0.0093215771887322
27,87484,Close,0.00886381664288872
28,93906,Close,0.00951448911420498
29,86389,Close,0.00875287202188416
30,123523,Close,0.0125152624843348
31,89381,Close,0.00905601933334137
32,91484,Close,0.00926909379724328
33,90198,Close,0.00913879719211829
34,87206,Close,0.00883564988066108
35,103133,Close,0.0104493621900124
36,91988,Close,0.00932015871869196
37,85210,Close,0.00863341658063815
38,91594,Close,0.00928023891898803
39,88435,Close,0.00896017128633652
40,148836,Close,0.0150799576363791
41,87217,Close,0.00883676439283555
42,90634,Close,0.00918297240194294
43,86590,Close,0.00877323719889047
44,91877,Close,0.00930891227765862
45,100777,Close,0.0102106539460975
46,86289,Close,0.00874274009302529
47,89041,Close,0.00902157077522123
48,92355,Close,0.00935734289760399
49,91048,Close,0.00922491858741864
50,171399,Close,0.0173660247448046
51,92050,Close,0.00932644051458445
52,92047,Close,0.00932613655671869
53,87904,Close,0.00890637074409595
54,85247,Close,0.00863716539431593
55,100118,Close,0.0101438845349176
56,91995,Close,0.00932086795371208
57,85621,Close,0.00867505880824808
58,89921,Close,0.00911073174917924
59,85493,Close,0.00866208993930873
60,147621,Close,0.0149568547007439
61,86853,Close,0.00879988417178929
62,89824,Close,0.00910090377818614
63,84127,Close,0.00852368779109665
64,90131,Close,0.00913200879978285
65,102802,Close,0.0104158255054895
66,88322,Close,0.008948722206726
67,89417,Close,0.00905966682773056
68,92181,Close,0.00933971334138957
69,89554,Close,0.00907354757026721
70,123100,Close,0.0124724044252618
71,86372,Close,0.00875114959397815
72,93916,Close,0.00951550230709086
73,87147,Close,0.00882967204263435
74,91565,Close,0.00927730065961896
75,122177,Close,0.0123788867218945
76,94259,Close,0.00955025482307676
77,87748,Close,0.00889056493507612
78,91353,Close,0.00925582097043817
79,86621,Close,0.00877637809683672
80,148310,Close,0.0150266636905814
81,89557,Close,0.00907385152813297
82,89992,Close,0.00911792541866903
83,89788,Close,0.00909725628379695
84,92076,Close,0.00932907481608776
85,105633,Close,0.010702660411484
86,90024,Close,0.00912116763590387
87,86115,Close,0.00872511053681087
88,96326,Close,0.00975968179258949
89,89733,Close,0.00909168372292457
90,128167,Close,0.0129857892605404
91,89375,Close,0.00905541141760984
92,95828,Close,0.00970922478687234
93,88705,Close,0.00898752749425545
94,93199,Close,0.0094428563771728
95,104321,Close,0.0105697295048557
96,92497,Close,0.00937173023658358
97,91563,Close,0.00927709802104179
98,94194,Close,0.0095436690693185
99,99494,Close,0.0100806612988383
0,329034,High,0.0333374908014751
1,83144,High,0.00842409093041401
2,83702,High,0.00848062709344648
3,86541,High,0.00876827255374963
4,88357,High,0.0089522683818266
5,102918,High,0.0104275785429658
6,86947,High,0.00880940818491662
7,86872,High,0.00880180923827247
8,94366,High,0.00956109598695575
9,90069,High,0.00912572700389036
10,130481,High,0.0132202420943345
11,84501,High,0.0085615812050288
12,92657,High,0.00938794132275776
13,84772,High,0.00858903873223632
14,90832,High,0.00920303362108349
15,108640,High,0.01100732751227
16,87612,High,0.00887678551182806
17,89034,High,0.00902086154020111
18,92298,High,0.00935156769815444
19,93861,High,0.00950992974621849
20,153174,High,0.0155194807102766
