cent,n,series,share
0,31699,Adjusted close,0.0100076812165683
1,31556,Adjusted close,0.00996253473201141
2,31867,Adjusted close,0.0100607204431806
3,31605,Adjusted close,0.00997800450644
4,31800,Adjusted close,0.0100395678944721
5,31775,Adjusted close,0.0100316751524167
6,31753,Adjusted close,0.010024729539408
7,32093,Adjusted close,0.0101320708313615
8,31533,Adjusted close,0.00995527340932044
9,31294,Adjusted close,0.0098798187952708
10,32057,Adjusted close,0.0101207052828017
11,31660,Adjusted close,0.00999536853896189
12,31716,Adjusted close,0.010013048281166
13,31316,Adjusted close,0.00988676440827955
14,32066,Adjusted close,0.0101235466699416
15,31670,Adjusted close,0.00999852563578405
16,31601,Adjusted close,0.00997674166771114
17,31607,Adjusted close,0.00997863592580444
18,31890,Adjusted close,0.0100679817658716
19,31770,Adjusted close,0.0100300966040057
20,31654,Adjusted close,0.00999347428086859
21,32081,Adjusted close,0.0101282823151749
22,32028,Adjusted close,0.0101115497020174
23,32028,Adjusted close,0.0101115497020174
24,31958,Adjusted close,0.0100894500242623
25,31813,Adjusted close,0.010043672120341
26,31713,Adjusted close,0.0100121011521193
27,31324,Adjusted close,0.00988929008573728
28,31653,Adjusted close,0.00999315857118638
29,31691,Adjusted close,0.0100051555391106
30,31435,Adjusted close,0.00992433386046327
31,31444,Adjusted close,0.00992717524760321
32,31191,Adjusted close,0.00984730069800254
33,31587,Adjusted close,0.00997232173216011
34,31255,Adjusted close,0.00986750611766437
35,31714,Adjusted close,0.0100124168618016
36,31384,Adjusted close,0.00990823266667024
37,31585,Adjusted close,0.00997169031279568
38,31391,Adjusted close,0.00991044263444576
39,31511,Adjusted close,0.00994832779631169
40,31656,Adjusted close,0.00999410570023303
41,31667,Adjusted close,0.0099975785067374
42,31583,Adjusted close,0.00997105889343125
43,31993,Adjusted close,0.0101004998631399
44,31492,Adjusted close,0.00994232931234958
45,31749,Adjusted close,0.0100234667006791
46,31297,Adjusted close,0.00988076592431744
47,31837,Adjusted close,0.0100512491527141
48,31686,Adjusted close,0.0100035769906995
49,31527,Adjusted close,0.00995337915122715
50,31807,Adjusted close,0.0100417778622477
51,31409,Adjusted close,0.00991612540872565
52,31413,Adjusted close,0.00991738824745451
53,31573,Adjusted close,0.00996790179660909
54,31126,Adjusted close,0.00982677956865849
55,31582,Adjusted close,0.00997074318374903
56,31669,Adjusted close,0.00999820992610183
57,31626,Adjusted close,0.00998463440976654
58,31425,Adjusted close,0.00992117676364111
59,31614,Adjusted close,0.00998084589357995
60,31992,Adjusted close,0.0101001841534576
61,31797,Adjusted close,0.0100386207654255
62,31734,Adjusted close,0.0100187310554459
63,31652,Adjusted close,0.00999284286150416
64,31771,Adjusted close,0.0100304123136879
65,31467,Adjusted close,0.00993443657029418
66,31782,Adjusted close,0.0100338851201923
67,31745,Adjusted close,0.0100222038619503
68,32236,Adjusted close,0.0101772173159184
69,32035,Adjusted close,0.0101137596697929
70,31922,Adjusted close,0.0100780844757025
71,31545,Adjusted close,0.00995906192550704
72,32149,Adjusted close,0.0101497505735656
73,31667,Adjusted close,0.0099975785067374
74,31662,Adjusted close,0.00999599995832632
75,31802,Adjusted close,0.0100401993138366
76,31745,Adjusted close,0.0100222038619503
77,31687,Adjusted close,0.0100038927003817
78,31663,Adjusted close,0.00999631566800854
79,31573,Adjusted close,0.00996790179660909
80,31745,Adjusted close,0.0100222038619503
81,31651,Adjusted close,0.00999252715182194
82,31845,Adjusted close,0.0100537748301719
83,31733,Adjusted close,0.0100184153457637
84,31501,Adjusted close,0.00994517069948953
85,31531,Adjusted close,0.00995464198995601
86,31862,Adjusted close,0.0100591418947695
87,31746,Adjusted close,0.0100225195716325
88,31757,Adjusted close,0.0100259923781369
89,31865,Adjusted close,0.0100600890238162
90,31541,Adjusted close,0.00995779908677817
91,31846,Adjusted close,0.0100540905398541
92,31445,Adjusted close,0.00992749095728543
93,31581,Adjusted close,0.00997042747406682
94,31857,Adjusted close,0.0100575633463585
95,31546,Adjusted close,0.00995937763518925
96,31540,Adjusted close,0.00995748337709596
97,31650,Adjusted close,0.00999221144213973
98,31539,Adjusted close,0.00995716766741374
99,31561,Adjusted close,0.0099641132804225
0,55306,Close (as traded),0.0174606396846439
1,32332,Close (as traded),0.0102075254454111
2,30926,Close (as traded),0.00976363763221527
3,30774,Close (as traded),0.00971564976051842
4,30354,Close (as traded),0.00958305169398766
5,33170,Close (as traded),0.0104720901591082
6,31295,Close (as traded),0.00988013450495301
7,30396,Close (as traded),0.00959631150064073
8,32222,Close (as traded),0.0101727973803673
9,29872,Close (as traded),0.0094308796271595
