cent,n,type,share,offset
90,128167,Close,0.0129857892605404,-10
91,89375,Close,0.00905541141760984,-9
92,95828,Close,0.00970922478687234,-8
93,88705,Close,0.00898752749425545,-7
94,93199,Close,0.0094428563771728,-6
95,104321,Close,0.0105697295048557,-5
96,92497,Close,0.00937173023658358,-4
97,91563,Close,0.00927709802104179,-3
98,94194,Close,0.0095436690693185,-2
99,99494,Close,0.0100806612988383,-1
0,287754,Close,0.029155030568536,0
1,98922,Close,0.0100227066657656,1
2,94206,Close,0.00954488490078157,2
3,92869,Close,0.00940942101193855,3
4,93230,Close,0.00944599727511905,4
5,105168,Close,0.0106555469422903,5
6,94427,Close,0.00956727646355966,6
7,90517,Close,0.00917111804517807,7
8,97062,Close,0.00983425278899073,8
9,89543,Close,0.00907243305809273,9
10,127006,Close,0.012868157566489,10
90,134421,High,0.0136194400913738,-10
91,84085,High,0.00851943238097593,-9
92,93384,High,0.0094616004455617,-8
93,88907,High,0.00900799399055036,-7
94,95131,High,0.00963860524272606,-6
95,110184,High,0.0111637644938509,-5
96,90211,High,0.00914011434286994,-4
97,93153,High,0.00943819568989773,-3
98,100969,High,0.0102301072495065,-2
99,113095,High,0.0114587049429324,-1
0,329034,High,0.0333374908014751,0
1,83144,High,0.00842409093041401,1
2,83702,High,0.00848062709344648,2
3,86541,High,0.00876827255374963,3
4,88357,High,0.0089522683818266,4
5,102918,High,0.0104275785429658,5
6,86947,High,0.00880940818491662,6
7,86872,High,0.00880180923827247,7
8,94366,High,0.00956109598695575,8
9,90069,High,0.00912572700389036,9
10,130481,High,0.0132202420943345,10
90,132161,Low,0.0133904584991635,-10
91,90543,Low,0.00917375234668137,-9
92,93499,Low,0.0094732521637494,-8
93,84606,Low,0.00857221973033061,-7
94,84688,Low,0.00858052791199488,-6
95,103234,Low,0.0104595954381598,-5
96,87727,Low,0.00888843723001576,-4
97,83959,Low,0.00850666615061376,-3
98,83285,Low,0.00843837695010501,-2
99,82332,Low,0.00834181966808004,-1
0,326653,Low,0.0330962495753455,0
1,115273,Low,0.0116793783534785,1
2,101571,Low,0.0102911014612369,2
3,95321,Low,0.0096578559075579,3
4,90382,Low,0.0091574399412186,4
5,111192,Low,0.0112658943367482,5
6,96268,Low,0.00975380527385134,6
7,89091,Low,0.00902663673965066,7
8,94332,Low,0.00955765113114374,8
9,83056,Low,0.00841517483301821,9
10,136899,Low,0.0138705092884964,10
90,135758,Open,0.0137549039802168,-10
91,86237,Open,0.00873747149001868,-9
92,91429,Open,0.00926352123637091,-8
93,84766,Open,0.00858843081650479,-7
94,88907,Open,0.00900799399055036,-6
95,106137,Open,0.0107537253329326,-5
96,89067,Open,0.00902420507672454,-4
97,86443,Open,0.00875834326346794,-3
98,91709,Open,0.00929189063717573,-2
99,99883,Open,0.0101200745020993,-1
0,387643,Open,0.0392757129863668,0
1,100017,Open,0.0101336512867702,1
2,91106,Open,0.00923079510615678,2
3,88852,Open,0.00900242142967798,3
4,89743,Open,0.00909269691581046,4
5,107509,Open,0.0108927353968763,5
6,90572,Open,0.00917669060605044,6
7,86895,Open,0.00880413958191001,7
8,92498,Open,0.00937183155587217,8
9,86787,Open,0.00879319709874244,9
10,134649,Open,0.013642540889172,10
