filter,type,n,p_00,p_50,p_round,p_mod10,p_mod25
All stock-days,Open,9869789,0.0392757129863668,0.021203594119388,0.0604793071057547,0.178016571580203,0.0872146304242168
All stock-days,High,9869789,0.0333374908014751,0.019495958829515,0.0528334496309901,0.167276726989807,0.0788464677411037
All stock-days,Low,9869789,0.0330962495753455,0.0198163304200323,0.0529125799953778,0.168899254077265,0.0792582293299279
All stock-days,Close,9869789,0.029155030568536,0.0173660247448046,0.0465210553133405,0.157443690032279,0.0713019295549277
Range >= $0.20,Open,6797662,0.047396590180565,0.023660340864256,0.071056931044821,0.19514032913081,0.0983964780831998
Range >= $0.20,High,6797662,0.0393299931652971,0.021463409036813,0.0607934022021101,0.181285418427689,0.0872900123601321
Range >= $0.20,Low,6797662,0.0388489454168213,0.0218469232509648,0.0606958686677861,0.182875523966917,0.0876104166403096
Range >= $0.20,Close,6797662,0.0336462742631216,0.0187195244482588,0.0523657987113805,0.169936663517545,0.0774954682948343
Range >= $0.20 & volume >= 50k,Open,4681816,0.0342031809878902,0.0201214656876733,0.0543246466755635,0.162394464028488,0.079692794419943
Range >= $0.20 & volume >= 50k,High,4681816,0.0236737197702772,0.0168908816578866,0.0405646014281638,0.144377737185742,0.0645886126238195
Range >= $0.20 & volume >= 50k,Low,4681816,0.0229806126511593,0.0170591924159343,0.0400398050670936,0.145648825156734,0.0644758358722342
Range >= $0.20 & volume >= 50k,Close,4681816,0.019138513773288,0.0146338514798531,0.0337723652531411,0.133242741705355,0.0566404147450476
